Company,Rating,Reviews,Industry,Location,Highly_Rated,Critically_Rated,Page
TCS,,(1.2L),IT Services & Consulting,Bengaluru +448 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1
Accenture,,(75.2k),IT Services & Consulting,Bengaluru +261 other locations,"Promotions, Salary, Work Satisfaction",,1
Wipro,,(66.4k),IT Services & Consulting,Hyderabad +375 other locations,"Promotions, Salary, Work Satisfaction",,1
Cognizant,,(62.7k),IT Services & Consulting,Hyderabad +233 other locations,"Promotions, Salary, Work Satisfaction",,1
Capgemini,,(54.8k),IT Services & Consulting,Bengaluru +188 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",1
HDFC Bank,,(53.9k),Banking,Mumbai +1866 other locations,"Job Security, Skill Development","Promotions, Salary",1
Infosys,,(49.9k),IT Services & Consulting,Bengaluru +247 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1
HCLTech,,(47k),IT Services & Consulting,Chennai +232 other locations,"Promotions, Salary, Work Satisfaction",,1
ICICI Bank,,(46.7k),Banking,Mumbai +1450 other locations,"Job Security, Promotions, Skill Development",,1
Tech Mahindra,,(44.2k),IT Services & Consulting,Hyderabad +323 other locations,"Promotions, Salary, Work Satisfaction",,1
Genpact,,(43.4k),Analytics & KPO,Hyderabad +181 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1
TP,,(39.7k),BPO,Mumbai +259 other locations,"Work Life Balance, Job Security, Skill Development",,1
Axis Bank,,(34.1k),Banking,Mumbai +1535 other locations,"Promotions, Work Satisfaction, Company Culture",,1
Jio,,(34.1k),Telecom,Mumbai +1966 other locations,"Job Security, Skill Development, Company Culture",,1
Concentrix Corporation,,(32.9k),BPO,Bengaluru +185 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1
Amazon,,(32.4k),Internet,Bengaluru +521 other locations,"Company Culture, Work Life Balance, Salary",Promotions,1
Reliance Retail,,(27.8k),Retail,Mumbai +1167 other locations,"Job Security, Skill Development, Work Life Balance",Promotions,1
iEnergizer,,(27.5k),BPO,Noida +55 other locations,"Company Culture, Work Life Balance, Work Satisfaction",,1
LTM Limited,,(27k),IT Services & Consulting,Bengaluru +146 other locations,"Promotions, Salary, Work Satisfaction",,1
HDB Financial Services,,(26.3k),NBFC,Mumbai +1099 other locations,"Promotions, Salary",,1
IBM,,(26.3k),IT Services & Consulting,Bengaluru +162 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,2
Larsen & Toubro Limited,,(24.4k),Engineering & Construction,Mumbai +782 other locations,"Job Security, Skill Development, Salary","Promotions, Work Life Balance",2
Deloitte,,(24k),Management Consulting,Hyderabad +186 other locations,"Promotions, Work Life Balance, Work Satisfaction",,2
Kotak Mahindra Bank,,(23k),Banking,Mumbai +697 other locations,"Promotions, Work Satisfaction, Company Culture",,2
Reliance Industries,,(20.6k),Oil & Gas,Jamnagar +822 other locations,"Job Security, Work Life Balance, Skill Development",Promotions,2
Vodafone Idea,,(17.8k),Telecom,Pune +708 other locations,"Salary, Company Culture, Work Life Balance",Promotions,2
Bharti Airtel,,(17.4k),Telecom,Gurugram +797 other locations,Promotions,,2
